county_fips,year,outcome_year,y,lag_1,lag_3_mean_obs,lag_5_mean_obs,years_since_last_obs,sample_weight
01001,2009,2010,0,2.6300001,3.0400000333333335,3.0200000200000003,1,4106.463722187691
01001,2010,2011,0,2.0699999,2.623333366666667,2.888,1,4975.845651007036
01001,2011,2012,0,2.22,2.3066666666666666,2.682,1,5315.315315315315
01001,2012,2013,1,3.1800001,2.4899999999999998,2.6540000400000006,1,5314.465241683482
01001,2013,2014,0,3.25,2.8833333666666667,2.67000002,1,5323.076923076923
01001,2014,2015,0,2.73,3.0533333666666667,2.69,1,5311.355311355311
01001,2015,2016,,2.5599999,2.8466666333333333,2.7880000000000003,1,5312.500207519539
01003,2007,2008,1,3.55,3.1766666999999997,2.97000006,1,15436.619718309861
01003,2008,2009,1,3.9200001,3.5066667000000002,3.27600006,1,15433.673075671602
01003,2009,2010,0,3.6700001,3.7133334,3.42400006,1,15449.590859684171
01003,2010,2011,,2.79,3.4600000666666673,3.3960000399999997,1,20143.36917562724
01003,2012,2013,1,3.79,3.4166667000000004,3.5440000400000002,2,21134.56464379947
01003,2013,2014,,3.6400001,3.4066667,3.56200006,1,21098.900519260973
01003,2016,2017,,3.54,3.6566667,3.4860000400000004,3,20028.248587570622
01005,2004,2005,0,1.3200001,1.3000000333333332,1.08800002,1,2803.0300906795387
01005,2005,2006,0,0.56,0.9966667000000001,1.10000002,1,3571.428571428571
01005,2006,2007,0,0.89999998,0.9266666933333333,1.072000016,1,3555.555634567903
01005,2007,2008,0,0.79000002,0.75,0.93600002,1,3544.303707739147
01005,2008,2009,0,0.44999999,0.7133333300000001,0.804000018,1,3555.555634567903
01005,2009,2010,0,0.56,0.6000000033333334,0.6519999980000001,1,3571.428571428571
01005,2010,2011,0,0.51999998,0.5099999900000001,0.6439999940000001,1,3269.230894970419
01005,2011,2012,0,0.54000002,0.54,0.572000002,1,3333.3332098765477
01005,2012,2013,0,0.36000001,0.4733333366666667,0.48600000000000004,1,3333.3332407407433
01005,2013,2014,0,0.80000001,0.56666668,0.556000004,1,3374.9999578125007
01005,2014,2015,0,0.63,0.5966666733333333,0.570000004,1,3333.3333333333335
01005,2015,2016,0,0.70999998,0.7133333299999999,0.608000004,1,3380.2817853600504
01005,2016,2017,0,0.95999998,0.7666666533333334,0.6919999960000001,1,3645.833409288196
01005,2017,2018,0,0.44,0.70333332,0.7079999939999999,1,3636.363636363636
01005,2018,2019,,1.1799999,0.85999996,0.7839999719999999,1,3644.0681054295005
01007,2004,2005,0,1.16,0.9766666699999998,0.952000004,1,1465.5172413793105
01007,2005,2006,0,0.19,0.8133333333333334,0.8680000019999999,1,1578.9473684210527
01007,2006,2007,0,0.68000001,0.67666667,0.7600000039999999,1,1617.6470350346024
01007,2007,2008,0,0.75,0.5400000033333333,0.774000002,1,1600.0
01007,2008,2009,0,1.3,0.9100000033333334,0.816000002,1,1615.3846153846152
01007,2009,2010,0,0.87,0.9733333333333333,0.758000002,1,1609.1954022988507
01007,2010,2011,0,0.50999999,0.8933333299999999,0.8219999999999998,1,1960.7843521722423
01007,2011,2012,0,0.56999999,0.6499999933333332,0.799999996,1,1754.3859956909826
01007,2012,2013,0,0.74000001,0.6066666633333333,0.7979999980000001,1,1756.7567330168008
01007,2013,2014,0,1.09,0.8000000000000002,0.7559999980000001,1,1743.119266055046
01007,2014,2015,0,1.6,1.143333336666667,0.901999998,1,1750.0
01007,2015,2016,0,1.49,1.3933333333333333,1.098,1,1744.96644295302
01007,2016,2017,0,1.1900001,1.4266667000000002,1.222000022,1,1764.7057340583417
01007,2017,2018,0,1.8200001,1.5000000666666666,1.43800004,1,1758.2416616350736
01007,2018,2019,,1.36,1.4566667333333332,1.49200004,1,1764.705882352941
01009,2004,2005,0,1.6,1.9133333333333333,1.6179999999999999,1,3187.5
01009,2005,2006,0,2.0899999,1.8666666333333335,1.9419999799999998,1,3301.435564661989
01009,2006,2007,0,1.85,1.8466666333333333,1.93599998,1,3297.297297297297
01009,2007,2008,0,1.21,1.7166666333333336,1.73199998,1,3305.785123966942
01009,2008,2009,0,1.24,1.4333333333333333,1.59799998,1,3306.451612903226
01009,2009,2010,0,1.52,1.3233333333333333,1.5819999800000002,1,3289.4736842105262
01009,2010,2011,0,0.86000001,1.20666667,1.336000002,1,4186.046462952948
01009,2011,2012,0,1.3,1.22666667,1.2260000020000001,1,4384.615384615384
